Type,Lat,Long,Depth,Phi,Delta-a,Delta-b,Depth_err,Seconds,Time_err,12P,12P_EC,14P,14P_EC,15P,15P_EC,16P,16P_EC,12S,12S_EC,14S,14S_EC,15S,15S_EC,16S,16S_EC,Year,Month,Day,Hour,Minute,R,G,B,Latrad,Longrad,zpos,ypos,xps
12 LM,-3.94,-21.2,0.0,0,0.0,0.0,0,17.7,0.0,42.4,2.0,,,,,,,56.29,2.0,,,,,,,1969,11,20,22,17,0,0,255,-0.06876597252857658,-0.3700098014227979,9.301203024661207,-0.6871178905619879,3.6076988924386186
13 S-IVB,-2.75,-27.86,0.0,0,0.0,0.0,0,41.0,0.0,68.8,0.0,,,,,,,89.04,2.0,,,,,,,1970,04,15,02,09,0,0,255,-0.04799655442984406,-0.4862487296056202,8.830739589299998,-0.47978128521343943,4.667745518377007
14 S-IVB,-8.09,-26.02,0.0,0,0.0,0.0,0,55.4,0.0,90.8,0.0,,,,,,,,,,,,,,,1971,02,04,07,40,0,0,255,-0.14119713648634125,-0.45413467136892455,8.896979069713735,-1.407284380674135,4.3431916956296455
14 LM,-3.42,-19.67,0.0,0,0.0,0.0,0,25.7,0.0,46.8,1.0,44.5,1.0,,,,,,,,,,,,,1971,02,07,00,45,0,0,255,-0.05969026041820607,-0.34330626386728463,9.399699067211307,-0.596548213901707,3.3600279276157186
15 S-IVB,-1.51,-11.81,0.0,0,0.0,0.0,0,42.9,0.0,97.0,1.0,79.7,0.0,,,,,,,,,,,,,1971,07,29,20,58,0,0,255,-0.026354471705114377,-0.20612338466053032,9.78491774457834,-0.2635142102541466,2.045958208964701
15 LM,26.36,0.25,0.0,0,0.0,0.0,0,37.0,0.0,,,,,64.5,0.0,,,,,,,,,,,1971,08,03,03,03,0,0,255,0.46006879082570523,0.004363323129985824,8.960134263653353,4.440097461062305,-0.039096209192908085
16 S-IVB,1.3,-23.8,0.0,0,0.0,0.0,0,4.0,0.0,31.4,0.0,47.5,0.0,150.9,0.0,,,,,,,,,,,1972,04,19,21,02,0,0,255,0.022689280275926284,-0.41538836197465046,9.147241657612131,0.22687333572781357,4.0344142755523995
17 S-IVB,-4.21,-12.31,0.0,0,0.0,0.0,0,42.3,0.0,98.0,0.0,74.5,0.0,196.5,1.0,164.2,0.0,,,,,,,,,1972,12,10,20,32,0,0,255,-0.07347836150896127,-0.21485003092050198,9.743720970571504,-0.7341226022432017,2.1262562527881768
M,74.1,2.6,0.0,16,2.7,1.1,0,19.72,1.7,318.0,2.0,315.0,1.0,215.0,1.0,,,542.0,2.0,,,350.0,1.0,,,1972,01,04,06,31,0,0,255,1.293288975727798,0.04537856055185257,2.736771967965984,9.617413095492113,-0.12427608785444459
M,1.5,-17.1,0.0,-52,0.3,0.2,0,39.49,1.0,84.9,0.0,72.1,0.0,173.5,0.0,181.0,0.0,,,97.5,2.0,,,,,1972,05,13,08,45,0,0,255,0.026179938779914945,-0.2984513020910304,9.55465488403622,0.26176948307873155,2.9393956495666784
M,32.8,137.6,0.0,-47,1.3,1.1,0,57.9,4.4,473.7,0.0,483.0,0.0,418.2,0.0,445.8,0.0,,,,,,,,,1972,07,17,21,50,0,0,255,0.57246799465414,2.4015730507441972,-6.207208975031476,5.417082102827397,-5.66796067660281
M,24.0,10.1,0.0,-7,0.7,0.3,0,15.72,2.3,193.4,1.0,174.7,0.0,52.6,0.0,,,285.0,2.0,,,82.0,1.0,,,1972,07,31,18,08,0,0,255,0.4188790204786391,0.17627825445142728,8.993884081003426,4.067366430758002,-1.60205476042989
