Lat,Long,Depth,Type
-15.7,-36.6,867.0,dm
-2.9,-50.3,946.0,dm
1.1,-44.7,933.0,dm
43.5,55.5,844.0,dm
25.0,53.2,893.0,dm
-23.7,-35.5,1086.0,dm
-6.0,-19.7,1037.0,dm
-35.7,-40.3,988.0,dm
9.2,17.5,1187.0,dm
-19.1,-41.7,973.0,dm
-29.6,-44.4,933.0,dm
0.7,-3.9,747.0,dm
7.5,6.3,1019.0,dm
25.5,-21.9,807.0,dm
23.3,32.7,925.0,dm
27.7,34.4,974.0,dm
23.7,-31.4,945.0,dm
-18.2,-50.8,1037.0,dm
21.6,43.6,788.0,dm
35.1,59.8,924.0,dm
14.3,5.2,1122.0,dm
23.0,20.4,1085.0,dm
8.1,10.3,933.0,dm
53.4,60.9,1077.0,dm
12.7,-35.7,931.0,dm
25.0,43.6,944.0,dm
5.1,115.8,877.0,dm
6.8,-7.2,971.0,dm
5.0,36.1,933.0,dm
27.5,-4.6,1058.0,dm
22.5,29.7,1343.0,dm
7.8,43.3,1031.0,dm
-21.9,-12.7,933.0,dm
-1.3,-10.3,867.0,dm
13.8,-29.2,847.0,dm
22.2,-50.7,907.0,dm
50.2,60.2,908.0,dm
8.6,-50.8,952.0,dm
8.7,-53.4,828.0,dm
12.3,37.7,1125.0,dm
-10.1,-39.2,933.0,dm
13.1,-52.4,933.0,dm
1.1,-20.6,933.0,dm
-9.5,-53.6,750.0,dm
24.1,-52.2,750.0,dm
30.1,53.2,975.0,dm
46.6,42.3,861.0,dm
34.8,63.0,1014.0,dm
-20.9,-16.8,933.0,dm
21.1,-44.0,908.0,dm
34.7,60.1,1043.0,dm
24.6,-23.4,1419.0,dm
27.5,34.3,919.0,dm
-40.9,-40.6,933.0,dm
6.2,11.9,794.0,dm
-8.4,17.9,989.0,dm
10.0,22.8,989.0,dm
-2.0,32.2,920.0,dm
41.0,53.4,893.0,dm
15.5,55.6,755.0,dm
-40.6,-3.8,862.0,dm
1.0,2.8,919.0,dm
0.5,47.3,1243.0,dm
-28.4,-66.6,933.0,dm
-26.5,-35.1,933.0,dm
12.8,-36.2,963.0,dm
-13.7,-21.6,764.0,dm
-2.4,-73.3,878.0,dm
36.1,-2.4,863.0,dm
-50.7,-21.4,933.0,dm
6.3,22.1,855.0,dm
34.3,45.0,933.0,dm
24.1,26.1,933.0,dm
36.8,21.2,1006.0,dm
-7.8,5.4,933.0,dm
12.2,3.5,933.0,dm
26.3,20.0,831.0,dm
26.7,5.2,933.0,dm
-69.4,75.4,933.0,dm
58.6,54.2,1025.0,dm
7.0,8.3,1019.0,dm
34.6,56.1,933.0,dm
8.6,73.0,933.0,dm
19.4,24.3,959.0,dm
5.3,3.6,933.0,dm
-3.4,12.5,933.0,dm
-3.6,21.5,933.0,dm
-46.5,38.9,933.0,dm
1.4,15.0,933.0,dm
35.0,19.1,1063.0,dm
-7.1,15.3,933.0,dm
3.4,2.0,559.0,dm
-1.7,18.0,933.0,dm
-7.6,36.7,933.0,dm
53.8,35.2,933.0,dm
-50.0,53.2,933.0,dm
-3.7,-33.9,933.0,dm
4.4,-4.7,933.0,dm
2.4,46.1,933.0,dm
-53.2,-54.4,933.0,dm
15.5,97.0,1141.0,dm
7.1,22.5,984.0,dm
42.9,110.9,933.0,dm
54.2,56.5,933.0,dm
24.8,35.7,933.0,dm
10.6,6.4,933.0,dm
